id,device_fingerprint,malware,infected_at,has_session_cookie,os,status
dev:live:f28e0bf4f99db12e,dfp:live:f28e0bf4f99db12e,unknown,,false,unknown,observed
dev:live:4dfde70cdb05b6bf,dfp:live:4dfde70cdb05b6bf,unknown,,false,unknown,observed
dev:live:dc780ddde2e91362,dfp:live:dc780ddde2e91362,unknown,,false,unknown,observed
dev:live:20eaea0fc751fa83,dfp:live:20eaea0fc751fa83,unknown,,false,unknown,observed
dev:live:065ecbc3fc3e8b0f,dfp:live:065ecbc3fc3e8b0f,unknown,,false,unknown,observed
dev:live:86d9c092efe5a820,dfp:live:86d9c092efe5a820,unknown,,false,unknown,observed
dev:live:3079b59bfc57e283,dfp:live:3079b59bfc57e283,unknown,,false,unknown,observed
dev:live:901236cf4936f4d7,dfp:live:901236cf4936f4d7,unknown,,false,unknown,observed
dev:live:1e6ef1d99fdeb21c,dfp:live:1e6ef1d99fdeb21c,unknown,,false,unknown,observed
dev:live:8e0c8908245b2c52,dfp:live:8e0c8908245b2c52,unknown,,false,unknown,observed
dev:live:6db50156c2241eb2,dfp:live:6db50156c2241eb2,unknown,,false,unknown,observed
dev:live:c9c3889865bb7ac1,dfp:live:c9c3889865bb7ac1,unknown,,false,unknown,observed
dev:live:ef9411460a6fd7a7,dfp:live:ef9411460a6fd7a7,unknown,,false,unknown,observed
dev:live:21fe942b9407d7a9,dfp:live:21fe942b9407d7a9,unknown,,false,unknown,observed
dev:live:d9cc5b14f45c4021,dfp:live:d9cc5b14f45c4021,unknown,,false,unknown,observed
dev:live:83dcd82a45ef33b9,dfp:live:83dcd82a45ef33b9,unknown,,false,unknown,observed
dev:live:0a06c127dd215525,dfp:live:0a06c127dd215525,unknown,,false,unknown,observed
dev:live:a4e360b895311491,dfp:live:a4e360b895311491,unknown,,false,unknown,observed
dev:live:560ef61300444a95,dfp:live:560ef61300444a95,unknown,,false,unknown,observed
dev:live:79cd9a5e60600e09,dfp:live:79cd9a5e60600e09,unknown,,false,unknown,observed
dev:live:9c8ac8db60920ae3,dfp:live:9c8ac8db60920ae3,unknown,,false,unknown,observed
dev:live:c013237e1073dd7a,dfp:live:c013237e1073dd7a,unknown,,false,unknown,observed
dev:live:947af3edbfba7b33,dfp:live:947af3edbfba7b33,unknown,,false,unknown,observed
dev:live:fa0caf623b80381d,dfp:live:fa0caf623b80381d,unknown,,false,unknown,observed
dev:live:ebdcb7bcbb530d37,dfp:live:ebdcb7bcbb530d37,unknown,,false,unknown,observed
dev:live:e8547009a428f3fe,dfp:live:e8547009a428f3fe,unknown,,false,unknown,observed
dev:live:a9ec5df528a2690a,dfp:live:a9ec5df528a2690a,unknown,,false,unknown,observed
dev:live:42e3070f246c06af,dfp:live:42e3070f246c06af,unknown,,false,unknown,observed
dev:live:deb7a3682247332c,dfp:live:deb7a3682247332c,unknown,,false,unknown,observed
dev:live:dc200e5066613cce,dfp:live:dc200e5066613cce,unknown,,false,unknown,observed
dev:live:6dba9f2284335e2b,dfp:live:6dba9f2284335e2b,unknown,,false,unknown,observed
dev:live:ea65f2ebc29070b6,dfp:live:ea65f2ebc29070b6,unknown,,false,unknown,observed
dev:live:475cb568c9c95cb3,dfp:live:475cb568c9c95cb3,unknown,,false,unknown,observed
dev:live:e02ef3e30565b277,dfp:live:e02ef3e30565b277,unknown,,false,unknown,observed
dev:live:5f55529b02cf359a,dfp:live:5f55529b02cf359a,unknown,,false,unknown,observed
dev:live:99fc4f331ff03f3e,dfp:live:99fc4f331ff03f3e,unknown,,false,unknown,observed
dev:live:4c0e0b172d4abf3e,dfp:live:4c0e0b172d4abf3e,unknown,,false,unknown,observed
dev:live:75fa923e310a1aae,dfp:live:75fa923e310a1aae,unknown,,false,unknown,observed
dev:live:9d623f1a8ea14821,dfp:live:9d623f1a8ea14821,unknown,,false,unknown,observed
dev:live:8185c8c9b673cabf,dfp:live:8185c8c9b673cabf,unknown,,false,unknown,observed
dev:live:91d470be5a931bec,dfp:live:91d470be5a931bec,unknown,,false,unknown,observed
dev:live:e6fcc580e9623fe7,dfp:live:e6fcc580e9623fe7,unknown,,false,unknown,observed
dev:live:83911770d439493b,dfp:live:83911770d439493b,unknown,,false,unknown,observed
dev:live:caf176858611d64e,dfp:live:caf176858611d64e,unknown,,false,unknown,observed
dev:live:ce4b7b5fcc911e61,dfp:live:ce4b7b5fcc911e61,unknown,,false,unknown,observed
dev:live:c39ef929397c4afc,dfp:live:c39ef929397c4afc,unknown,,false,unknown,observed
dev:live:0506a1cd4e72a38e,dfp:live:0506a1cd4e72a38e,unknown,,false,unknown,observed
dev:live:4528554d45e485b3,dfp:live:4528554d45e485b3,unknown,,false,unknown,observed
dev:live:789e27b4fb754dd7,dfp:live:789e27b4fb754dd7,unknown,,false,unknown,observed
dev:live:eaa4f586d3240653,dfp:live:eaa4f586d3240653,unknown,,false,unknown,observed
dev:live:9e6ded32c1cfef65,dfp:live:9e6ded32c1cfef65,unknown,,false,unknown,observed
dev:live:2da046c01f8ea21a,dfp:live:2da046c01f8ea21a,unknown,,false,unknown,observed
dev:live:50fecced398fe2d4,dfp:live:50fecced398fe2d4,unknown,,false,unknown,observed
dev:live:86bfed91ca840ff7,dfp:live:86bfed91ca840ff7,unknown,,false,unknown,observed
dev:live:1f80d4353b856345,dfp:live:1f80d4353b856345,unknown,,false,unknown,observed
dev:live:31210604742630a4,dfp:live:31210604742630a4,unknown,,false,unknown,observed
dev:live:636427474eb66333,dfp:live:636427474eb66333,unknown,,false,unknown,observed
dev:live:892502d085bb9e46,dfp:live:892502d085bb9e46,unknown,,false,unknown,observed
dev:live:f7c4fb56fe111f72,dfp:live:f7c4fb56fe111f72,unknown,,false,unknown,observed
dev:live:b4a9e10afcaf4398,dfp:live:b4a9e10afcaf4398,unknown,,false,unknown,observed
dev:live:81c5f04b6f6ffb2c,dfp:live:81c5f04b6f6ffb2c,unknown,,false,unknown,observed
dev:live:a96caac514747f0c,dfp:live:a96caac514747f0c,unknown,,false,unknown,observed
dev:live:97f2693b1936bca0,dfp:live:97f2693b1936bca0,unknown,,false,unknown,observed
dev:live:7a1b6d2335b35b2a,dfp:live:7a1b6d2335b35b2a,unknown,,false,unknown,observed
dev:live:cdadb3510efcaa33,dfp:live:cdadb3510efcaa33,unknown,,false,unknown,observed
dev:live:f2ddc69cca0e78f3,dfp:live:f2ddc69cca0e78f3,unknown,,false,unknown,observed
dev:live:47a664c67eda7c14,dfp:live:47a664c67eda7c14,unknown,,false,unknown,observed
dev:live:aee85f4e41c22308,dfp:live:aee85f4e41c22308,unknown,,false,unknown,observed
dev:live:7cc43a9123389406,dfp:live:7cc43a9123389406,unknown,,false,unknown,observed
dev:live:81480aca8eedddd9,dfp:live:81480aca8eedddd9,unknown,,false,unknown,observed
dev:live:f19d889ab5a90519,dfp:live:f19d889ab5a90519,unknown,,false,unknown,observed
dev:live:dcbc7135a435c4ca,dfp:live:dcbc7135a435c4ca,unknown,,false,unknown,observed
dev:live:2d032f9129b5495f,dfp:live:2d032f9129b5495f,unknown,,false,unknown,observed
dev:live:31ea99c147ebfabe,dfp:live:31ea99c147ebfabe,unknown,,false,unknown,observed
dev:live:8c52ed88d4a9e503,dfp:live:8c52ed88d4a9e503,unknown,,false,unknown,observed
dev:live:da413d6bf28b4ec0,dfp:live:da413d6bf28b4ec0,unknown,,false,unknown,observed
dev:live:28149ef100c21d49,dfp:live:28149ef100c21d49,unknown,,false,unknown,observed
dev:live:123d25cb17bf0955,dfp:live:123d25cb17bf0955,unknown,,false,unknown,observed
dev:live:9d42bcd9e9578819,dfp:live:9d42bcd9e9578819,unknown,,false,unknown,observed
dev:live:9e1755e8b77d5dcf,dfp:live:9e1755e8b77d5dcf,unknown,,false,unknown,observed
dev:live:1518da089f734fcb,dfp:live:1518da089f734fcb,unknown,,false,unknown,observed
dev:live:b96af130765727b0,dfp:live:b96af130765727b0,unknown,,false,unknown,observed
dev:live:f2a1dc0928ac2d4f,dfp:live:f2a1dc0928ac2d4f,unknown,,false,unknown,observed
dev:live:ea9324dc9d2b6fc1,dfp:live:ea9324dc9d2b6fc1,unknown,,false,unknown,observed
dev:live:9fc11c545987e056,dfp:live:9fc11c545987e056,unknown,,false,unknown,observed
